name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365
Amazing studio in Onnut,Yair,Suanluang,13.72158,100.61654,Entire home/apt,999,10,4,358
Luxury 2BR Pool Villa /Cul-de-Sac (4 weeks +),Ingo,Vadhana,13.73668,100.56693,Entire home/apt,4156,28,2,271
Big space in eastern BKK,Anchalee,Bang Kapi,13.75878,100.64988,Entire home/apt,519,4,1,181
Chambre privée en condominium,Arnaud,Khlong Toei,13.73684,100.55488,Private room,1500,7,1,365
Elegant 2-Brm Condo in Heart of Bangkok,Gerald,Bang Rak,13.72543,100.53838,Entire home/apt,5195,3,1,236
Five artist loft apartments,Nim,Bang Na,13.67826,100.60592,Entire home/apt,1750,28,2,365
Lovely quaint Bangkok home,Ann,Din Daeng,13.78499,100.56958,Entire home/apt,2000,2,1,336
"MODERN STUDIO SKYTRAIN, WIFI, 40%Monthly Discount!",Niramol,Huai Khwang,13.74538,100.59943,Entire home/apt,888,7,8,127
Budget price but 5 star value near new skytrain,Rae And Charlie,Bang Sue,13.83148,100.52151,Entire home/apt,1000,3,7,146
Jade House overlooking Pool near new skytrain,Rae And Charlie,Bang Sue,13.83148,100.52307,Entire home/apt,1200,3,7,124
"3min to BTS, Late Checkout, WiFi, Pool, Cable, BNH",Chonnikan,Bang Rak,13.72425,100.53087,Entire home/apt,2147,5,2,221
Great bright&spacious 1B BTS Onnut,Siri,Khlong Toei,13.70486,100.60152,Entire home/apt,850,21,3,294
comfortable in Bangkok Near MRT,Hab,Din Daeng,13.77126,100.57088,Private room,1200,2,1,365
3.Cool Chic apartment walk 5 min BTS Sathon,Wimonpak,Sathon,13.71628,100.51238,Entire home/apt,950,1,41,358
2BR Apt. near Sathon Silom-free WIFI,Sujin,Sathon,13.71972,100.54924,Entire home/apt,1693,30,2,176
95 sqm. 2 br. 1-5 people. Next to thonglor bts,Notee,Khlong Toei,13.72393,100.57647,Entire home/apt,3300,5,3,13
Superior Double Room Near Airport,Anis,Suanluang,13.73789,100.64271,Private room,850,1,10,365
Superior Twin Room Near Airport,Anis,Suanluang,13.73613,100.64319,Private room,1050,1,10,365
Studio in Beung Kum,Anis,Bueng Kum,13.78327,100.67124,Private room,700,1,10,365
Superior Double Room Near Yanhen Hospital,Anis,Bang Phlat,13.80698,100.5121,Private room,1050,1,10,365
Superior Twin Room Near Yanhee Hospital,Anis,Bang Phlat,13.80657,100.51192,Private room,1050,1,10,365
Superior Db Rm Near Yanhee Hospital,Anis,Bang Phlat,13.80685,100.5125,Private room,1050,1,10,365
Sathorn Apt with urban vibe,Jay,Sathon,13.71663,100.52864,Entire home/apt,868,4,1,330
Family Apartment for rent.,Jirajate,Wang Thong Lang,13.77933,100.61957,Private room,4873,1,1,365
วรภาดา น้อยพันธ์,Catroom,Bang Rak,13.7318,100.52351,Private room,980,1,1,365
Sarin Place Lodge,Weerakorn,Chatu Chak,13.82824,100.56594,Entire home/apt,1054,28,6,180
"Modern, cosy, great pool/gym",Peter,Huai Khwang,13.74742,100.56678,Entire home/apt,1020,29,2,318
New Studio 2KM to BTS- Sukhumvit 77,Yair,Suanluang,13.72347,100.61812,Entire home/apt,1004,10,10,365
Nostalgic Thai House - The Villa,Jeremy,Nong Chok,13.77672,100.83851,Entire home/apt,8658,1,2,365
"NEWLY Renovated! 1BR by the river, near IconSiam",Jeab,Khlong San,13.72174,100.50769,Entire home/apt,1635,3,1,56
Thai house overlooking pond & lotus,Jeremy,Nong Chok,13.77624,100.83931,Entire home/apt,3463,2,2,363
"River view penthouse 30 Fl, 5 Pers,  taxi included",Donald,Khlong San,13.72135,100.508,Entire home/apt,7929,2,1,267
✩Vibrant street✩Cozy n Cool near MRT Silom/center✩,Evan,Sathon,13.72065,100.54713,Entire home/apt,850,1,37,293
